club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season,url,transfer_euros
1038,sampdoria-genua,438,IT1,29,26.5,17,58.6,6,Luigi Ferraris,36348,+€28.60m,2022,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038,28600000.0
1075,sc-braga,365,PO1,25,25.9,14,56.0,3,Estádio Municipal de Braga,30286,+€48.73m,2022,https://www.transfermarkt.co.uk/sc-braga/startseite/verein/1075,48730000.0
12321,fc-girona,225,ES1,25,26.6,11,44.0,4,Montilivi,13286,€-15.00m,2022,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321,-15000000.0
15,bayer-04-leverkusen,59,L1,27,24.9,19,70.4,13,BayArena,30210,€-5.60m,2022,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15,-5600000.0
1531,fc-elche,143,ES1,26,27.7,10,38.5,2,Manuel Martínez Valero,31388,€-7.66m,2022,https://www.transfermarkt.co.uk/fc-elche/startseite/verein/1531,-7660000.0
202,fc-groningen,161,NL1,29,22.8,14,48.3,5,Euroborg,22555,+€15.97m,2022,https://www.transfermarkt.co.uk/fc-groningen/startseite/verein/202,15970000.0
3325,gd-chaves,214,PO1,27,26.3,17,63.0,3,Estádio Municipal Eng.º Manuel Branco Teixeira,9000,+€4.50m,2022,https://www.transfermarkt.co.uk/gd-chaves/startseite/verein/3325,4500000.0
415,fc-toulouse,189,FR1,26,24.3,23,88.5,6,Stadium Municipal,33150,€-3.00m,2022,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415,-3000000.0
79,vfb-stuttgart,460,L1,29,23.7,16,55.2,8,Mercedes-Benz Arena,60449,+€37.81m,2022,https://www.transfermarkt.co.uk/vfb-stuttgart/startseite/verein/79,37810000.0
964,zenit-st-petersburg,481,RU1,23,26.5,10,43.5,9,Gazprom Arena,63026,€-7.17m,2022,https://www.transfermarkt.co.uk/zenit-st-petersburg/startseite/verein/964,-7170000.0
121,dinamo-moskau,138,RU1,23,25.0,9,39.1,10,VTB-Arena,25716,€-6.38m,2022,https://www.transfermarkt.co.uk/dinamo-moskau/startseite/verein/121,-6380000.0
